id,source_fallout_id,action_id,target_system,creation_timestamp,due_date,status,retry_count
1,AFOM00001,ACT006,HFC-SRI,25/03/17 11:24,27/03/17 11:24,CLOSED-SUCCESSFUL,
2,AFOM00002,ACT007,PNI,25/03/17 08:17,27/03/17 08:17,ERROR,
3,AFOM00003,ACT007,PNI,23/03/17 09:43,25/03/17 09:43,RETRY-FAILURE,3
4,AFOM00004,ACT010,PNI,22/03/17 03:49,24/03/17 03:49,CLOSED-FAILURE,
5,AFOM00005,ACT001,FTTN-SRI,27/03/17 11:10,29/03/17 11:10,CREATED,
6,AFOM00006,ACT003,PNI,27/03/17 20:30,29/03/17 20:30,RETRY-FAILURE,2
7,AFOM00007,ACT008,FTTN-SRI,27/03/17 13:01,29/03/17 13:01,CLOSED-SUCCESSFUL,
8,AFOM00008,ACT008,FTTN-SRI,21/03/17 12:24,23/03/17 12:24,CLOSED-FAILURE,
9,AFOM00009,ACT002,HFC-SRI,28/03/17 20:58,30/03/17 20:58,RETRY-STARTED,2
10,AFOM00010,ACT005,FTTN-SRI,19/03/17 15:11,21/03/17 15:11,CREATED,
11,AFOM00011,ACT008,FTTN-SRI,25/03/17 11:38,27/03/17 11:38,CREATED,
12,AFOM00012,ACT004,HFC-SRI,22/03/17 06:37,24/03/17 06:37,RETRY-SUCCESS,2
13,AFOM00013,ACT004,HFC-SRI,24/03/17 07:43,26/03/17 07:43,RETRY-STARTED,2
14,AFOM00014,ACT008,FTTN-SRI,28/03/17 07:01,30/03/17 07:01,RETRY-SUCCESS,2
15,AFOM00015,ACT008,FTTN-SRI,24/03/17 19:56,26/03/17 19:56,CREATED,
16,AFOM00016,ACT010,PNI,27/03/17 21:48,29/03/17 21:48,RETRY-STARTED,1
17,AFOM00017,ACT007,PNI,24/03/17 18:10,26/03/17 18:10,CLOSED-SUCCESSFUL,
18,AFOM00018,ACT007,PNI,26/03/17 00:16,28/03/17 00:16,RETRY-FAILURE,3
19,AFOM00019,ACT007,PNI,22/03/17 05:01,24/03/17 05:01,STARTED,
20,AFOM00020,ACT004,HFC-SRI,28/03/17 07:50,30/03/17 07:50,CLOSED-SUCCESSFUL,
21,AFOM00021,ACT002,HFC-SRI,27/03/17 18:20,29/03/17 18:20,CREATED,
22,AFOM00022,ACT001,FTTN-SRI,24/03/17 11:28,26/03/17 11:28,CLOSED-SUCCESSFUL,
23,AFOM00023,ACT006,HFC-SRI,27/03/17 14:18,29/03/17 14:18,RETRY-SUCCESS,2
24,AFOM00024,ACT010,PNI,21/03/17 03:21,23/03/17 03:21,CLOSED-SUCCESSFUL,
25,AFOM00025,ACT010,PNI,21/03/17 02:35,23/03/17 02:35,CLOSED-SUCCESSFUL,
26,AFOM00026,ACT006,HFC-SRI,24/03/17 22:51,26/03/17 22:51,ERROR,
27,AFOM00027,ACT004,HFC-SRI,29/03/17 11:23,31/03/17 11:23,RETRY-SUCCESS,3
28,AFOM00028,ACT001,FTTN-SRI,26/03/17 13:05,28/03/17 13:05,ERROR,
29,AFOM00029,ACT008,FTTN-SRI,24/03/17 21:00,26/03/17 21:00,RETRY-FAILURE,1
30,AFOM00030,ACT009,HFC-SRI,25/03/17 03:22,27/03/17 03:22,ERROR,
31,AFOM00031,ACT009,HFC-SRI,28/03/17 11:55,30/03/17 11:55,CLOSED-SUCCESSFUL,
32,AFOM00032,ACT003,PNI,26/03/17 22:52,28/03/17 22:52,CLOSED-FAILURE,
33,AFOM00033,ACT002,HFC-SRI,21/03/17 23:38,23/03/17 23:38,STARTED,
34,AFOM00034,ACT001,FTTN-SRI,28/03/17 11:18,30/03/17 11:18,CREATED,
35,AFOM00035,ACT009,HFC-SRI,28/03/17 20:57,30/03/17 20:57,CLOSED-SUCCESSFUL,
36,AFOM00036,ACT004,HFC-SRI,22/03/17 13:33,24/03/17 13:33,ERROR,
37,AFOM00037,ACT009,HFC-SRI,25/03/17 16:23,27/03/17 16:23,ERROR,
38,AFOM00038,ACT007,PNI,22/03/17 10:02,24/03/17 10:02,RETRY-FAILURE,2
39,AFOM00039,ACT003,PNI,24/03/17 14:27,26/03/17 14:27,ERROR,
40,AFOM00040,ACT001,FTTN-SRI,21/03/17 05:09,23/03/17 05:09,CREATED,
41,AFOM00041,ACT003,PNI,22/03/17 06:00,24/03/17 06:00,CREATED,
42,AFOM00042,ACT007,PNI,28/03/17 14:09,30/03/17 14:09,CLOSED-FAILURE,
43,AFOM00043,ACT006,HFC-SRI,21/03/17 02:36,23/03/17 02:36,ERROR,
44,AFOM00044,ACT006,HFC-SRI,24/03/17 07:52,26/03/17 07:52,RETRY-STARTED,2
45,AFOM00045,ACT009,HFC-SRI,28/03/17 06:43,30/03/17 06:43,CLOSED-SUCCESSFUL,
46,AFOM00046,ACT003,PNI,29/03/17 13:34,31/03/17 13:34,STARTED,
47,AFOM00047,ACT007,PNI,27/03/17 21:34,29/03/17 21:34,ERROR,
48,AFOM00048,ACT004,HFC-SRI,24/03/17 19:46,26/03/17 19:46,RETRY-SUCCESS,2
49,AFOM00049,ACT007,PNI,24/03/17 12:32,26/03/17 12:32,RETRY-STARTED,1
50,AFOM00050,ACT002,HFC-SRI,29/03/17 01:23,31/03/17 01:23,RETRY-SUCCESS,2
