id,source_system,source_fallout_id,source_error_code,creation_date,due_date,status
AFOM00001,PNI,PNI17932,ERROR1013,2016-09-10 01:53:45,2016-09-21 01:53:45,CLOSED-FAILURE
AFOM00002,COM,COM69980,ERROR1111,2015-05-21 00:18:22,2015-06-01 00:18:22,CLOSED-FAILURE
AFOM00003,ORDERMANAGER,ORDERMANAGER34086,ERROR1206,2017-03-09 11:52:24,2017-03-20 11:52:24,CLOSED-SUCCESSFUL
AFOM00004,ORDERMANAGER,ORDERMANAGER44005,ERROR1208,2016-06-25 11:35:41,2016-07-06 11:35:41,CLOSED-SUCCESSFUL
AFOM00005,COM,COM12358,ERROR1113,2016-09-03 18:31:44,2016-09-14 18:31:44,CLOSED-FAILURE
AFOM00006,PNI,PNI9468,ERROR1001,2016-05-27 07:18:35,2016-06-07 07:18:35,CLOSED-FAILURE
AFOM00007,COM,COM41462,ERROR1102,2016-04-18 06:39:04,2016-04-29 06:39:04,CLOSED-FAILURE
AFOM00008,PNI,PNI49006,ERROR1002,2016-04-01 00:15:58,2016-04-12 00:15:58,CREATED
AFOM00009,PNI,PNI93293,ERROR1007,2016-06-28 20:31:52,2016-07-09 20:31:52,CREATED
AFOM00010,ORDERMANAGER,ORDERMANAGER84519,ERROR1213,2016-08-12 14:42:11,2016-08-23 14:42:11,CLOSED-SUCCESSFUL
AFOM00011,COM,COM48104,ERROR1103,2016-06-21 19:21:43,2016-07-02 19:21:43,CLOSED-FAILURE
AFOM00012,ORDERMANAGER,ORDERMANAGER97304,ERROR1201,2016-06-14 14:52:29,2016-06-25 14:52:29,ERROR
AFOM00013,ORDERMANAGER,ORDERMANAGER84058,ERROR1205,2017-02-25 20:16:41,2017-03-08 20:16:41,CLOSED-FAILURE
AFOM00014,PNI,PNI10272,ERROR1006,2015-11-02 06:20:47,2015-11-13 06:20:47,STARTED
AFOM00015,COM,COM55340,ERROR1115,2017-01-25 23:41:12,2017-02-05 23:41:12,CLOSED-FAILURE
AFOM00016,ORDERMANAGER,ORDERMANAGER11613,ERROR1211,2016-01-15 02:10:36,2016-01-26 02:10:36,ERROR
AFOM00017,COM,COM84719,ERROR1113,2017-02-03 11:31:35,2017-02-14 11:31:35,CLOSED-FAILURE
AFOM00018,COM,COM17777,ERROR1105,2016-01-16 00:11:00,2016-01-27 00:11:00,ERROR
AFOM00019,COM,COM74562,ERROR1110,2016-05-03 15:27:10,2016-05-14 15:27:10,CLOSED-FAILURE
AFOM00020,ORDERMANAGER,ORDERMANAGER97823,ERROR1203,2015-12-05 13:54:11,2015-12-16 13:54:11,STARTED
AFOM00021,ORDERMANAGER,ORDERMANAGER48611,ERROR1215,2015-12-19 15:02:28,2015-12-30 15:02:28,CLOSED-SUCCESSFUL
AFOM00022,COM,COM93951,ERROR1102,2017-02-23 23:14:07,2017-03-06 23:14:07,CLOSED-FAILURE
AFOM00023,ORDERMANAGER,ORDERMANAGER20443,ERROR1207,2017-02-18 21:20:35,2017-03-01 21:20:35,CLOSED-FAILURE
AFOM00024,PNI,PNI68324,ERROR1003,2017-01-14 08:00:50,2017-01-25 08:00:50,CLOSED-FAILURE
AFOM00025,ORDERMANAGER,ORDERMANAGER20615,ERROR1206,2015-11-20 12:22:08,2015-12-01 12:22:08,CREATED
AFOM00026,ORDERMANAGER,ORDERMANAGER67358,ERROR1211,2016-01-30 15:49:23,2016-02-10 15:49:23,CLOSED-FAILURE
AFOM00027,COM,COM43021,ERROR1109,2016-10-19 18:03:46,2016-10-30 18:03:46,CREATED
AFOM00028,COM,COM23183,ERROR1113,2015-11-15 14:05:57,2015-11-26 14:05:57,STARTED
AFOM00029,ORDERMANAGER,ORDERMANAGER4035,ERROR1202,2017-04-07 06:19:09,2017-04-18 06:19:09,ERROR
