id,source_fallout_id,action_id,target_system,creation_date,due_date,status,retry_count,error_code,error_desc
1,AFOM00001,ACT010,PNI,2016-11-28 19:05:51,2016-11-30 19:05:51,CLOSED-FAILURE,0,,
2,AFOM00002,ACT010,PNI,2016-08-19 23:58:55,2016-08-21 23:58:55,RETRY-FAILURE,3,,
3,AFOM00003,ACT002,HFC-SRI,2016-04-25 04:48:38,2016-04-27 04:48:38,RETRY-FAILURE,1,,
4,AFOM00004,ACT002,HFC-SRI,2016-12-23 06:42:43,2016-12-25 06:42:43,CREATED,0,,
5,AFOM00005,ACT008,FTTN-SRI,2015-09-02 05:25:09,2015-09-04 05:25:09,RETRY-SUCCESS,2,,
6,AFOM00006,ACT005,FTTN-SRI,2015-11-23 08:01:32,2015-11-25 08:01:32,STARTED,0,,
7,AFOM00007,ACT001,FTTN-SRI,2015-08-10 00:44:05,2015-08-12 00:44:05,ERROR,0,ERR003,Error encoutnered from on system ABC.
8,AFOM00008,ACT002,HFC-SRI,2015-09-28 03:46:33,2015-09-30 03:46:33,ERROR,0,ERR001,Message to system XYZ timed out.
9,AFOM00009,ACT010,PNI,2016-03-18 14:06:53,2016-03-20 14:06:53,CLOSED-FAILURE,0,,
10,AFOM00010,ACT009,HFC-SRI,2016-03-25 07:33:49,2016-03-27 07:33:49,RETRY-SUCCESS,3,,
11,AFOM00011,ACT008,FTTN-SRI,2016-01-02 22:30:54,2016-01-04 22:30:54,ERROR,0,ERR003,Error encoutnered from on system ABC.
12,AFOM00012,ACT002,HFC-SRI,2015-11-19 10:20:49,2015-11-21 10:20:49,STARTED,0,,
13,AFOM00013,ACT001,FTTN-SRI,2017-02-11 21:20:06,2017-02-13 21:20:06,RETRY-FAILURE,1,,
14,AFOM00014,ACT006,HFC-SRI,2015-08-09 08:37:38,2015-08-11 08:37:38,RETRY-STARTED,1,,
15,AFOM00015,ACT001,FTTN-SRI,2015-05-22 06:59:14,2015-05-24 06:59:14,CLOSED-SUCCESSFUL,0,,
16,AFOM00016,ACT007,PNI,2016-05-19 00:22:19,2016-05-21 00:22:19,RETRY-FAILURE,1,,
17,AFOM00017,ACT001,FTTN-SRI,2015-12-26 11:19:31,2015-12-28 11:19:31,CREATED,0,,
18,AFOM00018,ACT001,FTTN-SRI,2016-10-06 01:52:46,2016-10-08 01:52:46,CLOSED-FAILURE,0,,
19,AFOM00019,ACT010,PNI,2017-01-28 09:47:43,2017-01-30 09:47:43,CREATED,0,,
20,AFOM00020,ACT009,HFC-SRI,2016-05-04 12:20:23,2016-05-06 12:20:23,RETRY-STARTED,3,,
21,AFOM00021,ACT009,HFC-SRI,2017-05-03 09:37:13,2017-05-05 09:37:13,ERROR,0,ERR003,Error encoutnered from on system ABC.
22,AFOM00022,ACT006,HFC-SRI,2016-07-26 12:05:04,2016-07-28 12:05:04,CLOSED-SUCCESSFUL,0,,
23,AFOM00023,ACT002,HFC-SRI,2016-04-30 13:14:35,2016-05-02 13:14:35,RETRY-SUCCESS,1,,
24,AFOM00024,ACT008,FTTN-SRI,2015-11-21 13:45:50,2015-11-23 13:45:50,ERROR,0,ERR002,Error Response received from system XYZ.
25,AFOM00025,ACT009,HFC-SRI,2015-07-13 11:58:43,2015-07-15 11:58:43,CREATED,0,,
26,AFOM00026,ACT008,FTTN-SRI,2016-12-04 15:40:27,2016-12-06 15:40:27,CLOSED-SUCCESSFUL,0,,
27,AFOM00027,ACT002,HFC-SRI,2017-02-06 10:49:05,2017-02-08 10:49:05,STARTED,0,,
28,AFOM00028,ACT001,FTTN-SRI,2016-08-30 03:48:45,2016-09-01 03:48:45,RETRY-FAILURE,3,,
29,AFOM00029,ACT001,FTTN-SRI,2015-05-26 19:23:19,2015-05-28 19:23:19,RETRY-STARTED,3,,
30,AFOM00030,ACT002,HFC-SRI,2015-12-16 01:16:58,2015-12-18 01:16:58,STARTED,0,,
31,AFOM00031,ACT009,HFC-SRI,2017-04-16 17:11:43,2017-04-18 17:11:43,STARTED,0,,
32,AFOM00032,ACT008,FTTN-SRI,2015-12-13 23:43:26,2015-12-15 23:43:26,RETRY-FAILURE,3,,
33,AFOM00033,ACT004,HFC-SRI,2017-01-27 16:00:39,2017-01-29 16:00:39,CLOSED-SUCCESSFUL,0,,
34,AFOM00034,ACT005,FTTN-SRI,2017-03-08 10:55:11,2017-03-10 10:55:11,CREATED,0,,
35,AFOM00035,ACT007,PNI,2015-11-05 21:57:37,2015-11-07 21:57:37,RETRY-SUCCESS,2,,
36,AFOM00036,ACT005,FTTN-SRI,2017-03-28 06:55:04,2017-03-30 06:55:04,STARTED,0,,
37,AFOM00037,ACT007,PNI,2015-12-02 19:34:00,2015-12-04 19:34:00,RETRY-STARTED,2,,
38,AFOM00038,ACT005,FTTN-SRI,2016-08-15 16:11:04,2016-08-17 16:11:04,CLOSED-FAILURE,0,,
39,AFOM00039,ACT004,HFC-SRI,2016-11-02 08:51:06,2016-11-04 08:51:06,CREATED,0,,
40,AFOM00040,ACT005,FTTN-SRI,2016-06-08 07:04:31,2016-06-10 07:04:31,RETRY-SUCCESS,2,,
41,AFOM00041,ACT007,PNI,2017-01-07 19:27:58,2017-01-09 19:27:58,ERROR,0,ERR002,Error Response received from system XYZ.
42,AFOM00042,ACT007,PNI,2016-11-16 23:22:42,2016-11-18 23:22:42,CLOSED-FAILURE,0,,
43,AFOM00043,ACT009,HFC-SRI,2017-01-31 09:23:52,2017-02-02 09:23:52,CREATED,0,,
44,AFOM00044,ACT010,PNI,2016-04-13 02:25:44,2016-04-15 02:25:44,RETRY-FAILURE,3,,
45,AFOM00045,ACT001,FTTN-SRI,2015-10-11 06:50:05,2015-10-13 06:50:05,RETRY-SUCCESS,2,,
46,AFOM00046,ACT008,FTTN-SRI,2015-06-29 20:34:29,2015-07-01 20:34:29,CLOSED-SUCCESSFUL,0,,
47,AFOM00047,ACT002,HFC-SRI,2015-07-10 18:56:53,2015-07-12 18:56:53,ERROR,0,ERR002,Error Response received from system XYZ.
48,AFOM00048,ACT006,HFC-SRI,2016-12-18 18:17:35,2016-12-20 18:17:35,RETRY-SUCCESS,1,,
49,AFOM00049,ACT009,HFC-SRI,2015-09-05 02:43:05,2015-09-07 02:43:05,RETRY-FAILURE,3,,
50,AFOM00050,ACT008,FTTN-SRI,2015-06-25 11:01:19,2015-06-27 11:01:19,RETRY-FAILURE,3,,
51,AFOM00051,ACT008,FTTN-SRI,2016-01-15 14:17:52,2016-01-17 14:17:52,ERROR,0,ERR002,Error Response received from system XYZ.
52,AFOM00052,ACT004,HFC-SRI,2017-01-25 09:00:46,2017-01-27 09:00:46,STARTED,0,,
53,AFOM00053,ACT001,FTTN-SRI,2016-04-28 04:39:35,2016-04-30 04:39:35,CLOSED-FAILURE,0,,
54,AFOM00054,ACT005,FTTN-SRI,2015-07-14 13:55:35,2015-07-16 13:55:35,CLOSED-SUCCESSFUL,0,,
55,AFOM00055,ACT006,HFC-SRI,2016-09-08 14:30:33,2016-09-10 14:30:33,RETRY-SUCCESS,3,,
56,AFOM00056,ACT001,FTTN-SRI,2015-09-05 00:32:25,2015-09-07 00:32:25,RETRY-SUCCESS,2,,
57,AFOM00057,ACT002,HFC-SRI,2016-11-26 08:55:00,2016-11-28 08:55:00,STARTED,0,,
58,AFOM00058,ACT003,PNI,2016-09-07 06:48:30,2016-09-09 06:48:30,CLOSED-FAILURE,0,,
59,AFOM00059,ACT001,FTTN-SRI,2017-01-10 16:30:28,2017-01-12 16:30:28,CREATED,0,,
60,AFOM00060,ACT004,HFC-SRI,2015-07-11 18:32:18,2015-07-13 18:32:18,STARTED,0,,
61,AFOM00061,ACT005,FTTN-SRI,2016-08-11 02:43:00,2016-08-13 02:43:00,STARTED,0,,
62,AFOM00062,ACT002,HFC-SRI,2015-12-12 19:25:20,2015-12-14 19:25:20,STARTED,0,,
63,AFOM00063,ACT004,HFC-SRI,2016-08-13 17:59:28,2016-08-15 17:59:28,RETRY-STARTED,3,,
64,AFOM00064,ACT003,PNI,2016-08-20 01:11:37,2016-08-22 01:11:37,CLOSED-SUCCESSFUL,0,,
