id,fallout_id,property_name,property_value
1,AFOM00001,CUSTOMER ID,'CUST00039869'
2,AFOM00001,ERROR DESCRIPTION,'Response received from system abc not expected.'
3,AFOM00001,ACCESS TYPE,'FTTN'
4,AFOM00001,ORDER ID,'ORD00092533'
5,AFOM00002,ORDER ID,'ORD00040857'
6,AFOM00002,CUSTOMER ID,'CUST00099499'
7,AFOM00002,ERROR DESCRIPTION,'Message to system XYZ timed out.'
8,AFOM00002,ACCESS TYPE,'HFC'
9,AFOM00003,LOCATION ID,'LOC000088900'
10,AFOM00003,ORDER ID,'ORD00038643'
11,AFOM00003,RFS ID,'RFS3133'
13,AFOM00004,APPOINTMENT ID,'APPT0053133'
14,AFOM00004,LOCATION ID,'LOC000031300'
15,AFOM00004,ERROR DESCRIPTION,'There is already an open order for the service.'
17,AFOM00005,RFS ID,'RFS7075'
18,AFOM00005,ERROR DESCRIPTION,'The service type is not defined.'
19,AFOM00005,ORDER ID,'ORD00095683'
20,AFOM00005,LOCATION ID,'LOC000084220'
21,AFOM00006,RFS ID,'RFS20661'
22,AFOM00006,ERROR DESCRIPTION,'There is already an open order for the service.'
23,AFOM00006,LOCATION ID,'LOC000093585'
24,AFOM00006,CUSTOMER ID,'CUST00010519'
25,AFOM00007,ERROR DESCRIPTION,'There is already an open order for the service.'
26,AFOM00007,LOCATION ID,'LOC000070774'
27,AFOM00007,ACCESS TYPE,'HFC'
28,AFOM00008,ORDER ID,'ORD00049179'
29,AFOM00008,APPOINTMENT ID,'APPT0049559'
32,AFOM00009,LOCATION ID,'LOC000048314'
33,AFOM00009,RFS ID,'RFS95220'
34,AFOM00009,APPOINTMENT ID,'APPT0077800'
36,AFOM00010,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
37,AFOM00010,ACCESS TYPE,'FTTN'
38,AFOM00010,RFS ID,'RFS51399'
40,AFOM00011,CUSTOMER ID,'CUST00088165'
41,AFOM00011,APPOINTMENT ID,'APPT0042294'
42,AFOM00011,RFS ID,'RFS58984'
43,AFOM00011,LOCATION ID,'LOC000022259'
44,AFOM00012,CUSTOMER ID,'CUST00057832'
45,AFOM00012,APPOINTMENT ID,'APPT0023066'
