id,source,source_fallout_id,error_code,creation_timestamp,due_date,status
'AFOM00001','ORDERMANAGER'','ORDERMANAGER59037','ERROR4181','13/03/17 18:04','24/03/17 18:04','CREATED'
'AFOM00002','ORDERMANAGER','ORDERMANAGER99401','ERROR3880','15/03/17 12:44','26/03/17 12:44','CLOSED-SUCCESSFUL'
'AFOM00003','ORDERMANAGER','ORDERMANAGER13048','ERROR9646','13/03/17 12:10','24/03/17 12:10','STARTED'
'AFOM00004','PNI','PNI3776','ERROR5044','16/03/17 03:08','27/03/17 03:08','CREATED'
'AFOM00005','PNI','PNI20146','ERROR5707','20/03/17 16:29','31/03/17 16:29','CLOSED-SUCCESSFUL'
'AFOM00006','COM','COM78534','ERROR1461','19/03/17 03:07','30/03/17 03:07','CLOSED-SUCCESSFUL'
'AFOM00007','COM','COM14799','ERROR8693','22/03/17 15:58','02/04/17 15:58','CREATED'
'AFOM00008','PNI','PNI68446','ERROR2729','17/03/17 09:49','28/03/17 09:49','CREATED'
'AFOM00009','COM','COM65713','ERROR6307','23/03/17 10:24','03/04/17 10:24','CREATED'
'AFOM00010','ORDERMANAGER','ORDERMANAGER22509','ERROR5073','14/03/17 19:54','25/03/17 19:54','CLOSED-SUCCESSFUL'
'AFOM00011','ORDERMANAGER','ORDERMANAGER17342','ERROR8555','16/03/17 07:47','27/03/17 07:47','CREATED'
'AFOM00012','ORDERMANAGER','ORDERMANAGER4110','ERROR5097','17/03/17 23:16','28/03/17 23:16','CLOSED-SUCCESSFUL'
'AFOM00013','COM','COM93243','ERROR1927','21/03/17 04:34','01/04/17 04:34','CLOSED-SUCCESSFUL'
'AFOM00014','ORDERMANAGER','ORDERMANAGER69480','ERROR7626','19/03/17 11:20','30/03/17 11:20','CREATED'
'AFOM00015','ORDERMANAGER','ORDERMANAGER8231','ERROR1262','17/03/17 08:55','28/03/17 08:55','STARTED'
'AFOM00016','PNI','PNI69216','ERROR4268','17/03/17 06:31','28/03/17 06:31','CREATED'
'AFOM00017','PNI','PNI85812','ERROR3454','19/03/17 06:59','30/03/17 06:59','CLOSED-SUCCESSFUL'
'AFOM00018','ORDERMANAGER','ORDERMANAGER48692','ERROR3005','22/03/17 12:49','02/04/17 12:49','CLOSED-SUCCESSFUL'
'AFOM00019','PNI','PNI9978','ERROR1736','18/03/17 11:09','29/03/17 11:09','STARTED'
'AFOM00020','PNI','PNI62052','ERROR5048','14/03/17 23:22','25/03/17 23:22','CREATED'
'AFOM00021','PNI','PNI26257','ERROR4970','20/03/17 22:55','31/03/17 22:55','CREATED'
'AFOM00022','ORDERMANAGER','ORDERMANAGER54070','ERROR4794','18/03/17 23:18','29/03/17 23:18','STARTED'
'AFOM00023','ORDERMANAGER','ORDERMANAGER3043','ERROR2255','22/03/17 22:36','02/04/17 22:36','CREATED'
'AFOM00024','COM','COM69600','ERROR8467','13/03/17 13:04','24/03/17 13:04','CREATED'
'AFOM00025','ORDERMANAGER','ORDERMANAGER89383','ERROR5945','13/03/17 18:39','24/03/17 18:39','STARTED'
'AFOM00026','ORDERMANAGER','ORDERMANAGER43362','ERROR4302','15/03/17 17:46','26/03/17 17:46','CREATED'
'AFOM00027','ORDERMANAGER','ORDERMANAGER60544','ERROR8915','21/03/17 06:49','01/04/17 06:49','CLOSED-SUCCESSFUL'
'AFOM00028','ORDERMANAGER','ORDERMANAGER43068','ERROR3097','22/03/17 11:52','02/04/17 11:52','CREATED'
'AFOM00029','COM','COM86618','ERROR6183','19/03/17 10:13','30/03/17 10:13','STARTED'
'AFOM00030','ORDERMANAGER','ORDERMANAGER85224','ERROR8646','18/03/17 17:01','29/03/17 17:01','CREATED'
'AFOM00031','ORDERMANAGER','ORDERMANAGER54241','ERROR5839','20/03/17 16:18','31/03/17 16:18','CREATED'
'AFOM00032','COM','COM49289','ERROR1355','20/03/17 13:11','31/03/17 13:11','CREATED'
'AFOM00033','ORDERMANAGER','ORDERMANAGER77035','ERROR8736','15/03/17 16:18','26/03/17 16:18','CREATED'
'AFOM00034','COM','COM3416','ERROR2847','14/03/17 05:44','25/03/17 05:44','CLOSED-SUCCESSFUL'
'AFOM00035','PNI','PNI70794','ERROR2720','21/03/17 03:34','01/04/17 03:34','STARTED'
'AFOM00036','ORDERMANAGER','ORDERMANAGER51366','ERROR3784','14/03/17 15:00','25/03/17 15:00','CLOSED-SUCCESSFUL'
'AFOM00037','PNI','PNI35755','ERROR2912','17/03/17 04:09','28/03/17 04:09','CLOSED-SUCCESSFUL'
'AFOM00038','COM','COM1632','ERROR2821','14/03/17 04:46','25/03/17 04:46','CLOSED-SUCCESSFUL'
'AFOM00039','ORDERMANAGER','ORDERMANAGER98263','ERROR5413','17/03/17 21:38','28/03/17 21:38','CLOSED-SUCCESSFUL'
'AFOM00040','PNI','PNI6954','ERROR5404','17/03/17 10:00','28/03/17 10:00','CREATED'
'AFOM00041','COM','COM61843','ERROR1185','16/03/17 20:57','27/03/17 20:57','CREATED'
'AFOM00042','PNI','PNI89676','ERROR6662','18/03/17 09:38','29/03/17 09:38','CREATED'
